index,x_mm,y_mm,z_mm
0,0,0,0.0
1,70,0,0.0
2,140,0,0.0
3,210,0,0.0
4,280,0,0.0
5,350,0,0.0
6,420,0,0.0
7,35,35,0.0
8,105,35,0.0
9,175,35,0.0
10,245,35,0.0
11,315,35,0.0
12,385,35,0.0
13,455,35,0.0
14,0,70,0.0
15,70,70,0.0
16,140,70,0.0
17,210,70,0.0
18,280,70,0.0
19,350,70,0.0
20,420,70,0.0
21,35,105,0.0
22,105,105,0.0
23,175,105,0.0
24,245,105,0.0
25,315,105,0.0
26,385,105,0.0
27,455,105,0.0
28,0,140,0.0
29,70,140,0.0
30,140,140,0.0
31,210,140,0.0
32,280,140,0.0
33,350,140,0.0
34,420,140,0.0
35,35,175,0.0
36,105,175,0.0
37,175,175,0.0
38,245,175,0.0
39,315,175,0.0
40,385,175,0.0
41,455,175,0.0
42,0,210,0.0
43,70,210,0.0
44,140,210,0.0
45,210,210,0.0
46,280,210,0.0
47,350,210,0.0
48,420,210,0.0
49,35,245,0.0
50,105,245,0.0
51,175,245,0.0
52,245,245,0.0
53,315,245,0.0
54,385,245,0.0
55,455,245,0.0
56,0,280,0.0
57,70,280,0.0
58,140,280,0.0
59,210,280,0.0
60,280,280,0.0
61,350,280,0.0
62,420,280,0.0
63,35,315,0.0
64,105,315,0.0
65,175,315,0.0
66,245,315,0.0
67,315,315,0.0
68,385,315,0.0
69,455,315,0.0
70,0,350,0.0
71,70,350,0.0
72,140,350,0.0
73,210,350,0.0
74,280,350,0.0
75,350,350,0.0
76,420,350,0.0
77,35,385,0.0
78,105,385,0.0
79,175,385,0.0
80,245,385,0.0
81,315,385,0.0
82,385,385,0.0
83,455,385,0.0
84,0,420,0.0
85,70,420,0.0
86,140,420,0.0
87,210,420,0.0
88,280,420,0.0
89,350,420,0.0
90,420,420,0.0
91,35,455,0.0
92,105,455,0.0
93,175,455,0.0
94,245,455,0.0
95,315,455,0.0
96,385,455,0.0
97,455,455,0.0
98,0,490,0.0
99,70,490,0.0
100,140,490,0.0
101,210,490,0.0
102,280,490,0.0
103,350,490,0.0
104,420,490,0.0
105,35,525,0.0
106,105,525,0.0
107,175,525,0.0
108,245,525,0.0
109,315,525,0.0
110,385,525,0.0
111,455,525,0.0
112,0,560,0.0
113,70,560,0.0
114,140,560,0.0
115,210,560,0.0
116,280,560,0.0
117,350,560,0.0
118,420,560,0.0
119,35,595,0.0
120,105,595,0.0
121,175,595,0.0
122,245,595,0.0
123,315,595,0.0
124,385,595,0.0
125,455,595,0.0
126,0,630,0.0
127,70,630,0.0
128,140,630,0.0
129,210,630,0.0
130,280,630,0.0
131,350,630,0.0
132,420,630,0.0
133,35,665,0.0
134,105,665,0.0
135,175,665,0.0
136,245,665,0.0
137,315,665,0.0
138,385,665,0.0
139,455,665,0.0
140,0,700,0.0
141,70,700,0.0
142,140,700,0.0
143,210,700,0.0
144,280,700,0.0
145,350,700,0.0
146,420,700,0.0
