index,x_mm,y_mm,z_mm
0,0,0,0.0
1,20,0,0.0
2,40,0,0.0
3,60,0,0.0
4,80,0,0.0
5,100,0,0.0
6,0,20,0.0
7,20,20,0.0
8,40,20,0.0
9,60,20,0.0
10,80,20,0.0
11,100,20,0.0
12,0,40,0.0
13,20,40,0.0
14,40,40,0.0
15,60,40,0.0
16,80,40,0.0
17,100,40,0.0
18,0,60,0.0
19,20,60,0.0
20,40,60,0.0
21,60,60,0.0
22,80,60,0.0
23,100,60,0.0
24,0,80,0.0
25,20,80,0.0
26,40,80,0.0
27,60,80,0.0
28,80,80,0.0
29,100,80,0.0
30,0,100,0.0
31,20,100,0.0
32,40,100,0.0
33,60,100,0.0
34,80,100,0.0
35,100,100,0.0
36,0,120,0.0
37,20,120,0.0
38,40,120,0.0
39,60,120,0.0
40,80,120,0.0
41,100,120,0.0
42,0,140,0.0
43,20,140,0.0
44,40,140,0.0
45,60,140,0.0
46,80,140,0.0
47,100,140,0.0
